method,dataset,accuracy,n_cases,avg_actions
strict_f3,HuggingFaceH4/MATH-500,0.6388888888888888,360,5.211111111111111
strict_gate1_cap_k6,HuggingFaceH4/MATH-500,0.6222222222222222,360,5.305555555555555
strict_f2,HuggingFaceH4/MATH-500,0.6,360,5.133333333333334
zhai_cpo_mode_a,HuggingFaceH4/MATH-500,0.5277777777777778,360,3.6333333333333333
l1_max,HuggingFaceH4/MATH-500,0.5055555555555555,360,2.061111111111111
s1,HuggingFaceH4/MATH-500,0.48055555555555557,360,3.327777777777778
l1_exact,HuggingFaceH4/MATH-500,0.4722222222222222,360,2.0388888888888888
tale,HuggingFaceH4/MATH-500,0.46111111111111114,360,2.058333333333333
strict_f2,HuggingFaceH4/aime_2024,0.6416666666666667,360,5.163888888888889
strict_gate1_cap_k6,HuggingFaceH4/aime_2024,0.625,360,5.288888888888889
strict_f3,HuggingFaceH4/aime_2024,0.5972222222222222,360,5.330555555555556
tale,HuggingFaceH4/aime_2024,0.5333333333333333,360,1.9805555555555556
zhai_cpo_mode_a,HuggingFaceH4/aime_2024,0.5,360,3.6166666666666667
l1_exact,HuggingFaceH4/aime_2024,0.4638888888888889,360,2.025
s1,HuggingFaceH4/aime_2024,0.4638888888888889,360,3.375
l1_max,HuggingFaceH4/aime_2024,0.4583333333333333,360,1.9861111111111112
strict_f3,openai/gsm8k,0.6277777777777778,360,5.272222222222222
strict_gate1_cap_k6,openai/gsm8k,0.6027777777777777,360,5.375
strict_f2,openai/gsm8k,0.5916666666666667,360,5.1722222222222225
l1_max,openai/gsm8k,0.4888888888888889,360,1.9805555555555556
s1,openai/gsm8k,0.4777777777777778,360,3.3555555555555556
zhai_cpo_mode_a,openai/gsm8k,0.46944444444444444,360,3.6333333333333333
l1_exact,openai/gsm8k,0.4444444444444444,360,2.0194444444444444
tale,openai/gsm8k,0.4444444444444444,360,2.05
