cell,provider,dataset,n,gold_in_tree_count,gold_in_tree_rate,frontier_correct,fta_correct,frontier_acc_pct,fta_acc_pct,frontier_correct_cond_gold_in_tree,fta_correct_cond_gold_in_tree,frontier_acc_cond_gold_in_tree_pct,fta_acc_cond_gold_in_tree_pct,gold_in_tree_frontier_misses,gold_in_tree_fta_misses,fta_rescues,fta_regressions,fta_wrong_to_wrong_changes,fta_correct_to_equivalent_correct,unchanged_examples,fix2_trigger_count,fix2_rescues,fix2_regressions,fix2_neutral_changes,fix2_correct_to_equivalent_correct,fix2_precision_rescue_minus_regression,fix4_trigger_count,fix4_rescues,fix4_regressions,fix4_neutral_changes,fix4_correct_to_equivalent_correct,fix4_precision_rescue_minus_regression
cohere::command-r-plus-08-2024::openai/gsm8k,cohere,openai/gsm8k,300,272,0.906667,230,260,76.666667,86.666667,230,255,84.558824,93.75,42,17,39,9,18,0,234,63,36,9,18,0,0.42857142857142855,3,3,0,0,0,1.0
cohere::command-r-plus-08-2024::HuggingFaceH4/MATH-500,cohere,HuggingFaceH4/MATH-500,300,123,0.41,87,92,29.0,30.666667,87,85,70.731707,69.105691,36,38,20,15,91,0,174,119,20,15,84,0,0.04201680672268908,1,0,0,1,0,0.0
cohere::command-r-plus-08-2024::gpqa_diamond,cohere,gpqa_diamond,198,103,0.520202,68,72,34.343434,36.363636,68,69,66.019417,66.990291,35,34,13,9,25,0,151,43,11,7,25,0,0.09302325581395349,4,2,2,0,0,0.0
cohere::command-r-plus-08-2024::ChilleD/StrategyQA,cohere,ChilleD/StrategyQA,100,87,0.87,78,76,78.0,76.0,78,76,89.655172,87.356322,9,11,0,2,0,0,98,0,0,0,0,0,,2,0,2,0,0,-1.0
azure_openai::gpt-4.1-mini::openai/gsm8k,azure_openai,openai/gsm8k,300,278,0.926667,276,260,92.0,86.666667,276,259,99.280576,93.165468,2,19,2,18,6,0,274,26,2,18,6,0,-0.6153846153846154,0,0,0,0,0,
azure_openai::gpt-4.1-mini::HuggingFaceH4/MATH-500,azure_openai,HuggingFaceH4/MATH-500,300,183,0.61,167,143,55.666667,47.666667,167,141,91.256831,77.04918,16,42,7,31,37,0,225,60,7,31,22,0,-0.4,2,0,0,2,0,0.0
azure_openai::gpt-4.1-mini::gpqa_diamond,azure_openai,gpqa_diamond,198,126,0.636364,103,102,52.020202,51.515152,103,99,81.746032,78.571429,23,27,9,10,17,0,162,33,8,8,17,0,0.0,3,1,2,0,0,-0.3333333333333333
azure_openai::gpt-4.1-mini::ChilleD/StrategyQA,azure_openai,ChilleD/StrategyQA,100,76,0.76,70,72,70.0,72.0,70,71,92.105263,93.421053,6,5,3,1,0,0,96,0,0,0,0,0,,4,3,1,0,0,0.5
vertex_gemini::gemini-2.5-flash::openai/gsm8k,vertex_gemini,openai/gsm8k,300,282,0.94,279,272,93.0,90.666667,279,269,98.93617,95.390071,3,13,4,11,2,0,283,17,4,11,2,0,-0.4117647058823529,0,0,0,0,0,
vertex_gemini::gemini-2.5-flash::HuggingFaceH4/MATH-500,vertex_gemini,HuggingFaceH4/MATH-500,300,226,0.753333,217,228,72.333333,76.0,217,220,96.017699,97.345133,9,6,11,0,23,0,266,20,11,0,9,0,0.55,0,0,0,0,0,
vertex_gemini::gemini-2.5-flash::gpqa_diamond,vertex_gemini,gpqa_diamond,198,126,0.636364,113,125,57.070707,63.131313,113,114,89.68254,90.47619,13,12,16,4,17,0,161,37,16,4,17,0,0.32432432432432434,0,0,0,0,0,
vertex_gemini::gemini-2.5-flash::ChilleD/StrategyQA,vertex_gemini,ChilleD/StrategyQA,100,86,0.86,84,84,84.0,84.0,84,84,97.674419,97.674419,2,2,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,
fireworks::accounts/fireworks/models/deepseek-v4-pro::openai/gsm8k,fireworks,openai/gsm8k,300,256,0.853333,223,224,74.333333,74.666667,223,218,87.109375,85.15625,33,38,19,18,24,0,239,61,19,18,24,0,0.01639344262295082,0,0,0,0,0,
fireworks::accounts/fireworks/models/deepseek-v4-pro::HuggingFaceH4/MATH-500,fireworks,HuggingFaceH4/MATH-500,300,152,0.506667,100,117,33.333333,39.0,100,108,65.789474,71.052632,52,44,26,9,92,0,173,125,26,9,90,0,0.136,0,0,0,0,0,
fireworks::accounts/fireworks/models/deepseek-v4-pro::ChilleD/StrategyQA,fireworks,ChilleD/StrategyQA,100,88,0.88,81,79,81.0,79.0,81,79,92.045455,89.772727,7,9,1,3,0,0,96,2,1,1,0,0,0.0,2,0,2,0,0,-1.0
