dataset,method,budget,budget_exhaustion_rate,max_family_share,active_family_count,monopolization_rate
openai/gsm8k,Adaptive Budget Guarded,8,0.5555555555555556,0.5172413793103449,2,0.0
openai/gsm8k,Oracle Frontier Upper Bound,8,0.1111111111111111,0.9354838709677419,2,0.0
openai/gsm8k,Program-of-Thought,8,0.0,0.5,1,0.0
openai/gsm8k,Reasoning Beam-2,8,0.1111111111111111,1.0,1,1.0
openai/gsm8k,Reasoning Greedy,8,0.0,1.0,1,1.0
openai/gsm8k,Self-Consistency-3,8,0.7777777777777778,0.7246376811594203,2,0.0
openai/gsm8k,Verifier-Guided Search,8,0.0,0.5,2,0.0
openai/gsm8k,Adaptive Budget Guarded,10,0.0,0.6562500000000001,2,0.0
openai/gsm8k,Oracle Frontier Upper Bound,10,0.0,0.8695652173913044,2,0.0
openai/gsm8k,Program-of-Thought,10,0.0,0.5,1,0.0
openai/gsm8k,Reasoning Beam-2,10,0.0,1.0,1,1.0
openai/gsm8k,Reasoning Greedy,10,0.0,1.0,1,1.0
openai/gsm8k,Self-Consistency-3,10,0.5555555555555556,0.7073170731707318,2,0.0
openai/gsm8k,Verifier-Guided Search,10,0.0,0.619718309859155,2,0.0
