dataset,budget,method,n_seeds,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,range_accuracy
HuggingFaceH4/MATH-500,4,adaptive_min_expand_1,2,0.3750,0.0250,0.3500,0.4000,0.0500
HuggingFaceH4/MATH-500,4,adaptive_min_expand_2,2,0.4500,0.2000,0.2500,0.6500,0.4000
HuggingFaceH4/MATH-500,4,reasoning_beam2,2,0.5500,0.1500,0.4000,0.7000,0.3000
HuggingFaceH4/MATH-500,4,self_consistency_3,2,0.3500,0.0000,0.3500,0.3500,0.0000
HuggingFaceH4/MATH-500,6,adaptive_min_expand_1,2,0.3750,0.0250,0.3500,0.4000,0.0500
HuggingFaceH4/MATH-500,6,adaptive_min_expand_2,2,0.6500,0.0500,0.6000,0.7000,0.1000
HuggingFaceH4/MATH-500,6,reasoning_beam2,2,0.5000,0.0500,0.4500,0.5500,0.1000
HuggingFaceH4/MATH-500,6,self_consistency_3,2,0.5000,0.0500,0.4500,0.5500,0.1000
HuggingFaceH4/MATH-500,8,adaptive_min_expand_1,2,0.3500,0.1500,0.2000,0.5000,0.3000
HuggingFaceH4/MATH-500,8,adaptive_min_expand_2,2,0.4250,0.1250,0.3000,0.5500,0.2500
HuggingFaceH4/MATH-500,8,reasoning_beam2,2,0.5250,0.0250,0.5000,0.5500,0.0500
HuggingFaceH4/MATH-500,8,self_consistency_3,2,0.5750,0.0250,0.5500,0.6000,0.0500
HuggingFaceH4/aime_2024,4,adaptive_min_expand_1,2,0.3750,0.0250,0.3500,0.4000,0.0500
HuggingFaceH4/aime_2024,4,adaptive_min_expand_2,2,0.4500,0.2000,0.2500,0.6500,0.4000
HuggingFaceH4/aime_2024,4,reasoning_beam2,2,0.5500,0.1500,0.4000,0.7000,0.3000
HuggingFaceH4/aime_2024,4,self_consistency_3,2,0.3500,0.0000,0.3500,0.3500,0.0000
HuggingFaceH4/aime_2024,6,adaptive_min_expand_1,2,0.3500,0.0000,0.3500,0.3500,0.0000
HuggingFaceH4/aime_2024,6,adaptive_min_expand_2,2,0.5500,0.1500,0.4000,0.7000,0.3000
HuggingFaceH4/aime_2024,6,reasoning_beam2,2,0.4250,0.0250,0.4000,0.4500,0.0500
HuggingFaceH4/aime_2024,6,self_consistency_3,2,0.5000,0.0500,0.4500,0.5500,0.1000
HuggingFaceH4/aime_2024,8,adaptive_min_expand_1,2,0.3250,0.1750,0.1500,0.5000,0.3500
HuggingFaceH4/aime_2024,8,adaptive_min_expand_2,2,0.3500,0.0500,0.3000,0.4000,0.1000
HuggingFaceH4/aime_2024,8,reasoning_beam2,2,0.5000,0.0500,0.4500,0.5500,0.1000
HuggingFaceH4/aime_2024,8,self_consistency_3,2,0.6000,0.0000,0.6000,0.6000,0.0000
openai/gsm8k,4,adaptive_min_expand_1,2,0.3750,0.0250,0.3500,0.4000,0.0500
openai/gsm8k,4,adaptive_min_expand_2,2,0.4500,0.2000,0.2500,0.6500,0.4000
openai/gsm8k,4,reasoning_beam2,2,0.5500,0.1500,0.4000,0.7000,0.3000
openai/gsm8k,4,self_consistency_3,2,0.3500,0.0000,0.3500,0.3500,0.0000
openai/gsm8k,6,adaptive_min_expand_1,2,0.3500,0.0000,0.3500,0.3500,0.0000
openai/gsm8k,6,adaptive_min_expand_2,2,0.5500,0.1500,0.4000,0.7000,0.3000
openai/gsm8k,6,reasoning_beam2,2,0.4250,0.0250,0.4000,0.4500,0.0500
openai/gsm8k,6,self_consistency_3,2,0.5000,0.0500,0.4500,0.5500,0.1000
openai/gsm8k,8,adaptive_min_expand_1,2,0.3250,0.1750,0.1500,0.5000,0.3500
openai/gsm8k,8,adaptive_min_expand_2,2,0.3500,0.0500,0.3000,0.4000,0.1000
openai/gsm8k,8,reasoning_beam2,2,0.5000,0.0500,0.4500,0.5500,0.1000
openai/gsm8k,8,self_consistency_3,2,0.6000,0.0000,0.6000,0.6000,0.0000
