seed,budget,setup,target_mode,train_rows_used,label_positive_rate,uncertain_rate,delta_std_mean,delta_sign_flip_rate_mean,stop_reference_gain_mean,classification_accuracy,classification_auc,learned_accuracy,heuristic_accuracy,learned_vs_heuristic_accuracy_margin,learned_vs_uncertainty_accuracy_margin,learned_avg_best_score,heuristic_avg_best_score,learned_vs_heuristic_score_margin
31,10,default,proxy_best_other_gain,8240,0.024942660550458715,0.814506880733945,0.09033529162639731,0.13930300713557592,0.2422674338478055,0.904226618705036,0.957879187128199,0.58125,0.61875,-0.03749999999999998,0.08750000000000002,0.7192166533020302,0.7033176212851141,0.015899032016916115
31,10,policy_coupled_stop,proxy_policy_coupled_stop_reallocation,8240,0.23174694189602446,0.871177370030581,0.07486156784946171,0.2374649592252803,0.08295623304755903,0.85431654676259,0.9331199312726554,0.6,0.61875,-0.018750000000000044,0.10624999999999996,0.7195735012945232,0.7059882277483519,0.01358527354617134
32,10,default,proxy_best_other_gain,8464,0.024167459562321598,0.8120837297811608,0.09053408036888673,0.13850301300348872,0.24363619386269605,0.8699902248289345,0.9449120603015075,0.59375,0.58125,0.012499999999999956,0.043749999999999956,0.7128646490278111,0.6902888444605041,0.022575804567307012
32,10,policy_coupled_stop,proxy_policy_coupled_stop_reallocation,8464,0.23292102759276878,0.8695528068506184,0.07453373701890251,0.2327624484617824,0.08257429883422067,0.8641251221896383,0.9443572858823772,0.5875,0.5875,0.0,0.03749999999999998,0.7022044271738335,0.6879315002225687,0.014272926951264808
33,10,default,proxy_best_other_gain,8336,0.02394019682059046,0.816332323996972,0.09041409997238421,0.13567688619732526,0.24715889897175497,0.8763440860215054,0.9613572171844804,0.61875,0.55625,0.0625,0.0625,0.7144579299447065,0.7051516808712945,0.009306249073411932
33,10,policy_coupled_stop,proxy_policy_coupled_stop_reallocation,8336,0.2288985616956851,0.8777441332323997,0.07624708892985879,0.24082134746404238,0.08242600166313623,0.8387096774193549,0.9294887324534227,0.625,0.55,0.07499999999999996,0.0625,0.7085574769620415,0.7057697197552006,0.0027877572068408796
31,14,default,proxy_best_other_gain,8591,0.02445777572681126,0.8178126442085834,0.09130005346720109,0.14060913705583755,0.24696231331196292,0.892602495543672,0.9646101763427821,0.6375,0.6,0.03749999999999998,-0.04375000000000007,0.7228112293463841,0.703577757441805,0.019233471904579136
31,14,policy_coupled_stop,proxy_policy_coupled_stop_reallocation,8591,0.23599446239040148,0.8846331333640979,0.07583988145150876,0.23736348254114747,0.08305850674797383,0.856951871657754,0.9339888331701875,0.575,0.6,-0.025000000000000022,-0.10625000000000007,0.712267611337343,0.7041793714682425,0.008088239869100455
32,14,default,proxy_best_other_gain,8902,0.02222021497606359,0.8128443681690904,0.09088598545843733,0.13729563725047422,0.2476963786761936,0.8575380359612724,0.9573155080213904,0.6375,0.5625,0.07499999999999996,-0.006250000000000089,0.7108899675538053,0.6846229105767032,0.026267056977102077
32,14,policy_coupled_stop,proxy_policy_coupled_stop_reallocation,8902,0.2317767139373137,0.8704724053834342,0.07475352821713448,0.2331918224791497,0.0827536050187721,0.8732134624250807,0.9531495525434555,0.5875,0.5625,0.025000000000000022,-0.0625,0.7143423811648122,0.6838793460586094,0.03046303510620274
33,14,default,proxy_best_other_gain,8638,0.02443265007320644,0.8168923865300146,0.09005362470835297,0.13831442166910687,0.242023583878094,0.8646288209606987,0.9470472759653525,0.61875,0.53125,0.08750000000000002,0.050000000000000044,0.6993294288070835,0.7028340188853202,-0.003504590078236669
33,14,policy_coupled_stop,proxy_policy_coupled_stop_reallocation,8638,0.23599926793557832,0.8731698389458272,0.07369974915555647,0.23587725719863348,0.0819934379773735,0.8397379912663755,0.9250771403737506,0.61875,0.525,0.09375,0.05625000000000002,0.7084622544633203,0.7055137152375711,0.002948539225749225
