method,failure_type,n_cases,mean_accuracy,avg_actions,avg_expansions,avg_verifications,absent_from_tree_rate,present_not_selected_rate,output_layer_mismatch_rate
external_l1_max,absent_from_tree,471,0.0,2.118895966029724,2.118895966029724,0.0,1.0,0.0,0.0
external_l1_max,correct,429,1.0,1.9836829836829837,1.9836829836829837,0.0,0.0,0.0,0.0
self_consistency_3,absent_from_tree,283,0.0,5.431095406360424,4.102473498233215,1.3286219081272084,1.0,0.0,0.0
self_consistency_3,correct,512,1.0,6.05859375,4.27734375,1.78125,0.0,0.0,0.0
self_consistency_3,output_layer_mismatch,16,0.5625,7.0,4.5625,2.4375,0.0,0.0,1.0
self_consistency_3,present_not_selected,89,0.0,6.426966292134831,4.48314606741573,1.9438202247191012,0.0,1.0,0.0
self_consistency_5,absent_from_tree,289,0.0,5.418685121107266,4.096885813148789,1.3217993079584776,1.0,0.0,0.0
self_consistency_5,correct,490,1.0,6.187755102040816,4.408163265306122,1.779591836734694,0.0,0.0,0.0
self_consistency_5,output_layer_mismatch,26,0.38461538461538464,7.615384615384615,4.730769230769231,2.8846153846153846,0.0,0.0,1.0
self_consistency_5,present_not_selected,95,0.0,6.3578947368421055,4.315789473684211,2.042105263157895,0.0,1.0,0.0
strict_f3,absent_from_tree,242,0.0,5.293388429752066,4.925619834710743,0.3677685950413223,1.0,0.0,0.0
strict_f3,correct,585,1.0,5.386324786324787,4.953846153846154,0.4324786324786325,0.0,0.0,0.0
strict_f3,present_not_selected,73,0.0,5.47945205479452,5.438356164383562,0.0410958904109589,0.0,1.0,0.0
strict_f3_anti_collapse_weak_v1,absent_from_tree,230,0.0,5.2043478260869565,5.165217391304348,0.0391304347826087,1.0,0.0,0.0
strict_f3_anti_collapse_weak_v1,correct,592,1.0,5.41722972972973,5.3125,0.10472972972972973,0.0,0.0,0.0
strict_f3_anti_collapse_weak_v1,present_not_selected,78,0.0,5.5,5.5,0.0,0.0,1.0,0.0
strict_gate1_cap_k6,absent_from_tree,261,0.0,5.203065134099617,4.950191570881226,0.25287356321839083,1.0,0.0,0.0
strict_gate1_cap_k6,correct,557,1.0,5.3231597845601435,4.9694793536804305,0.35368043087971274,0.0,0.0,0.0
strict_gate1_cap_k6,present_not_selected,82,0.0,5.390243902439025,5.353658536585366,0.036585365853658534,0.0,1.0,0.0
tot_beam_matched_budget,absent_from_tree,245,0.0,4.844897959183673,4.844897959183673,0.0,1.0,0.0,0.0
tot_beam_matched_budget,correct,519,1.0,5.418111753371869,5.418111753371869,0.0,0.0,0.0,0.0
tot_beam_matched_budget,output_layer_mismatch,50,0.46,6.02,6.02,0.0,0.0,0.0,1.0
tot_beam_matched_budget,present_not_selected,86,0.0,5.895348837209302,5.895348837209302,0.0,0.0,1.0,0.0
tot_bfs_matched_budget,absent_from_tree,297,0.0,4.077441077441078,4.077441077441078,0.0,1.0,0.0,0.0
tot_bfs_matched_budget,correct,515,1.0,3.819417475728155,3.819417475728155,0.0,0.0,0.0,0.0
tot_bfs_matched_budget,present_not_selected,88,0.0,3.727272727272727,3.727272727272727,0.0,0.0,1.0,0.0
tot_dfs_matched_budget,absent_from_tree,362,0.0,2.751381215469613,2.751381215469613,0.0,1.0,0.0,0.0
tot_dfs_matched_budget,correct,474,1.0,3.481012658227848,3.481012658227848,0.0,0.0,0.0,0.0
tot_dfs_matched_budget,output_layer_mismatch,5,0.4,6.0,6.0,0.0,0.0,0.0,1.0
tot_dfs_matched_budget,present_not_selected,59,0.0,5.288135593220339,5.288135593220339,0.0,0.0,1.0,0.0
